Column1;Column2;Column3;Column4;Column5;Column6
ARF União da Vitória;RUA MARECHAL DEODORO, nº 71, TERREO;CENTRO;UNIAO DA VITORIA;PR;84600-000
ARF União dos Palmares;Rua Correia de Oliveira, nº 97;Centro;União dos Palmares;AL;57800-000
ARF Uruaçu;Avenida Coronel Gaspar, nº 176;Centro;Uruaçu;GO;76400-000
ARF Valença;Praça da República, nº 42, Térreo;Centro;Valença;BA;45400-000
ARF Videira;Rua Padre Anchieta, nº 1104;Matriz;Videira;SC;89560-000
ARF Vila Velha;Rua Henrique Laranja, nº 400, Ed. Montreal;Centro;Vila Velha;ES;29100-350
ARF Votuporanga;Rua Tietê, nº 3291;Centro;Votuporanga;SP;15505-186
ARF Xanxerê;Rua Olimpio Julio Tortato, nº 275;Centro;Xanxerê;SC;89820-000
CAC ALF - Paranaguá;RUA CORONEL JOSÉ LOBO, nº 2300;OCEANIA;PARANAGUÁ;PR;83203-340
CAC Anápolis;Avenida Presidente Wilson, nº 710;Jundiai Industrial;Anápolis;GO;75115-100
CAC Aracaju;Rua Paulo Henrique Machado Pimentel, nº 140, DIA;Distrito Industrial;Aracaju;SE;49040-740
CAC Araçatuba;Rua Edgar Jardim Bastos, nº 168;Jardim Nova Iorque;Araçatuba;SP;16018-410
CAC Araraquara;Avenida Rodrigo Fernando Grillo, nº 2775;Jardim dos Manacás;Araraquara;SP;14801-534
CAC Barueri;Avenida Tucunaré, nº 292;Tamboré;Barueri;SP;06460-020
CAC Bauru;Rua Treze de Maio, nº 20, Quadra 7;Centro;Bauru;SP;17015-902
CAC Belém;AVENIDA GOVERNADOR JOSE MALCHER, nº 2803;SAO BRAS;BELEM;PA;66090-100
CAC BHE Afonso Pena;Avenida Afonso Pena, nº 1316, 2º Andar;Centro;Belo Horizonte;MG;30190-917
CAC BHE Contorno;Rua Levindo Lopes, nº 357;Savassi;Belo Horizonte;MG;30140-170
CAC Blumenau;Rua Namy Deeke, nº 40;Centro;Blumenau;SC;89010-130
CAC Boa Vista;Rua Agnelo Bittencourt, nº 106;Centro;Boa Vista;RR;69301-430
CAC Brasília;SAS Qd. 03 Bloco O Térreo;Asa Sul;Brasília;DF;70079-900
CAC Camaçari;Rua do Contorno, s/n - Centro;Administrativo;Camaçari;BA;42800-610
CAC Campina Grande;Avenida Janúncio Ferreira, nº 680;;Campina Grande;PB;58102-55
CAC Campinas;Avenida Gov. Pedro de Toledo, nº 334;Bonfim;Campinas;SP;13070-752
CAC Campo Grande;Rua Desembargador Leão Neto Do Carmo, nº 3;Jardim Veraneio;Campo Grande;MS;79037-902
CAC Caruaru;Rua Frei Caneca, nº 152;Nossa Sra das Dores;Caruaru;PE;55012-330
CAC Cascavel;Rua Rio Grande do Sul, nº 1289;Centro;Cascavel;PR;85801-901
CAC Contagem;Avenida José Faria da Rocha, nº 5531, Térreo;Eldorado;Contagem;MG;32310-210
CAC Coronel Fabriciano;Avenida Rubens Siqueira Maia, nº 1;-;Coronel Fabriciano;MG;35170-460
CAC CPF/Praça Ramos de Azevedo/SP;Rua Coronel Xavier de Toledo, nº 23, 2º Andar;Centro;São Paulo;SP;01048-100
CAC Cuiabá;Avenida Vereador Juliano da Costa Marques, nº 99;Bosque da Saúde;Cuiabá;MT;78050-600
CAC Curitiba - Centro;Rua Marechal Deodoro, nº 555, Térreo;Centro;Curitiba;PR;80020-911
CAC Divinópolis;Rua São Paulo, nº 267;Centro;Divinópolis;MG;35500-006
CAC Dourados;Avenida Marcelino Pires, nº 1595;Centro;Dourados;MS;79800-004
CAC Feira de Santana;Avenida Getúlio Vargas, nº 195;Centro;Feira de Santana;BA;44001-525
CAC Florianópolis;Rua Claudino Bento da Silva , nº 11, (Final Rua Hoepcke);Centro;Florianópolis;SC;88010-135
CAC Fortaleza;Rua Barão de Aracati, nº 909, 1º SL;Aldeota;Fortaleza;CE;60115-090
CAC Foz do Iguaçu;Avenida Paraná, nº 1227;-;Foz do Iguaçu;PR;85863-720
CAC Franca;Rua Frei Germano, nº 2324;Estação;Franca;SP;14405-215
CAC Goiânia;Avenida NONA AVENIDA, QD. A 34, LT 01/11;Leste Universitário;Goiânia;GO;74603-010
CAC Governador Valadares;Avenida Brasil, nº 2866, Térreo;Centro;Governador Valadares;MG;35020-070
CAC Guarulhos;Rua da Cantareira, nº 164;Vila Augusta;Guarulhos;SP;07024-160
CAC Imperatriz;Rua Rui Barbosa, nº 302;Centro;Imperatriz;MA;65900-440
CAC Itabuna;Avenida Amélia Amado, nº 5;Centro;Itabuna;BA;45600-050
CAC Itajaí;Rua Pedro Ferreira, nº 34;Centro;Itajaí;SC;88301-03
CAC Joaçaba;Rua Getúlio Vargas, nº 345;-;Joaçaba;SC;89600-000
CAC João Pessoa;Avenida Epitácio Pessoa, nº 1705, Térreo;dos Estados;João Pessoa;PB;58030-900
CAC Joinville;Rua Saguaçu, nº 182;Saguaçu;Joinville;SC;89221-010
CAC Juazeiro do Norte;Rua José Andrade de Lavor, nº 2001;Santa Tereza;Juazeiro do Norte;CE;63050-430
CAC Juiz de Fora;Avenida Barão do Rio Branco, nº 372;Manoel Honório;Juiz de Fora;MG;36045-120
CAC Jundiaí;Avenida Dr. Cavalcanti, nº 241;Vila Arens;Jundiaí;SP;13201-003
CAC Lages;Avenida Presidente Vargas, nº 635;Centro;Lages;SC;88508-110
CAC Limeira;Rua Pedro Zaccaria, nº 444;Jardim Santa Luiza;Limeira;SP;13484-350
CAC Londrina;Rua Brasil, nº 865;Centro;Londrina;PR;86010-916
CAC Macapá;Rua Eliezer Levy, nº 1350, Terreo;Central;Macapá;AP;68906-400
CAC Maceió;Rua Sá e Albuquerque, nº 541, Prédio Anexo;Jaraguá;Maceió;AL;57025-902
CAC Malha - DEFIS;Rua Florêncio Abreu, nº 770, Térreo;Luz;São Paulo;SP;01030-000
CAC Manaus;Avenida São Jorge, nº 2878;São Jorge;Manaus;AM;69030-680
CAC Marabá;Folha CSI 31 Quadra 08, nº 31, Lote 7 e 8;Nova Marabá;Marabá;PA;68507-600
CAC Marília;Avenida Sampaio Vidal, nº 789;Centro;Marília;SP;17500-021
CAC Maringá;Avenida 15 de Novembro, nº 527, Ao lado Correio;Centro;Maringá;PR;87013-909
CAC Montes Claros;AV. Deputado Esteves Rodrigues, nº 2810;Centro;Montes Claros;MG;39400-141
CAC Osasco;Rua Avelino Lopes, nº 170;Centro;Osasco;SP;06090-902
CAC Palmas;Rua NE 13, Conjunto 03, Lotes 05 e 06;202 Norte;Palmas;TO;77054-010
CAC Piracicaba;Avenida Independência, nº 3601;dos Alemães;Piracicaba;SP;13416-240
CAC Poços de Caldas;Rua São Paulo, nº 461;Centro;Poços de Caldas;MG;37701-012
CAC Ponta Grossa;Avenida Visconde de Taunay, nº 1051;Ronda;Ponta Grossa;PR;84051-902
CAC Poupatempo Itaquera SP;Avenida do Contorno, nº 60, Ala azul - B;Itaquera;São Paulo;SP;08220-380
CAC Presidente Prudente;Avenida Onze de Maio, nº 1319;Cidade Universitária;Presidente Prudente;SP;19050-050
CAC Recife - Boa Viagem;Av. Conselheiro Aguiar, nº 740;Pina;Recife;PE;51011-030
CAC Recife - Centro;Av. Alfredo Lisboa, nº 1152, Térreo;Recife Antigo;Recife;PE;50030-150
CAC Ribeirão Preto;Avenida Dr. Francisco Junqueira, nº 2625;Jardim Macedo;Ribeirão Preto;SP;14091-902
CAC Rio Branco;Rua Marechal Deodoro, nº 340;Centro;Rio Branco;AC;69900-903
CAC Salvador;Rua Alceu Amoroso Lima, nº 862;Caminho das Árvores;Salvador;BA;41820-770
CAC Santarém;Avenida Tapajós, nº 277;Centro;Santarém;PA;68005-000
CAC Santo André;Avenida José Caballero, nº 35, térreo;Vila Bastos;Santo André;SP;09040-902
CAC Santos;Rua do Comércio, nº 86;Centro;Santos;SP;11010-140
CAC São Bernardo do Campo;Rua Marechal Deodoro, nº 480, Térreo;Centro;S. Bernardo do Campo;SP;09710-000
CAC São José do Rio Preto;RUA ROBERTO MANGE, nº 360;Nova Redentora;São José Rio Preto;SP;15090-901
CAC São José dos Campos;Avenida Nove de Julho, nº 332;Jardim Apolo;São José dos Campos;SP;12243-000
CAC São Luís;Rua Osvaldo Cruz, nº 1618;Canto Fabril;São Luís;MA;65020-902
CAC São Paulo - CNPJ;Rua Isidro Tinoco, nº 82;Tatuapé;São Paulo;SP;03316-010
CAC São Paulo - DEINF;Rua Avanhandava, nº 55, 1º Andar;Bela Vista;São Paulo;SP;01306-900
CAC São Paulo - Integração RFB/PGFN;Alameda Santos, nº 637, Térreo;Jardim Paulista;São Paulo;SP;01419-001
CAC São Paulo - Lapa;Rua Schilling, nº 512;Leopoldina;São Paulo;SP;05302-000
CAC São Paulo - Luz;Avenida Prestes Maia, nº 733, 2º andar - sala 201;Luz;São Paulo;SP;01031-905
CAC São Paulo - Parcelamento;. UNIDADE DESATIVADA, .;.;.;SP;00000-000
CAC São Paulo - Paulista;Rua Augusta, nº 1582;Consolação;São Paulo;SP;01304-000
CAC São Paulo - Santo Amaro;Rua Padre José de Anchieta, nº 76;Santo Amaro;São Paulo;SP;04742-000
CAC São Paulo - Tatuapé;Rua Tijuco Preto, nº 205;Tatuapé;São Paulo;SP;03316-000
CAC Sete Lagoas;Avenida Dr. Renato Azeredo, nº 433;Canaan;Sete Lagoas;MG;35700-312
CAC Sobral;Rua Eurípedes Ferreira Gomes, nº 720;Betânia;Sobral;CE;62040-075
CAC Sorocaba;Rua Professor Dirceu Ferreira da Silva, nº 111;Alto da Boa Vista;Sorocaba;SP;18013-565
CAC Taguatinga;QSD Área Especial Comércio-Lote 4, Ed SPAZZIO DUO;Taguatinga Sul;Taguatinga;DF;72020-111
CAC Taubaté;Rua Marechal Arthur da Costa e Silva, nº 730;Centro;Taubaté;SP;12010-490
CAC Uberaba;Avenida Maria Carmelita Castro Cunha, nº 165;Vila Olímpica;Uberaba;MG;38065-320
CAC Uberlândia;Avenida Rondon Pacheco, nº 4488;Tibery;Uberlândia;MG;38405-142
CAC Varginha;Av Rui Barbosa, nº 10, Térreo;Centro;Varginha;MG;37002-140
CAC Vitória;Rua Pietrângelo de Biase, nº 56, Térreo;Centro;Vitória;ES;29010-190
CAC Vitória da Conquista;Praça Virgilio Ferraz, nº 32;Centro;Vitória da Conquista;BA;45000-901
INC Assis Brasil;Rua Neide Batista, nº 480;Centro;Assis Brazil;AC;69935-000
IRF Aeroporto Int. Eduardo Gomes;Av. Santos Dumont, nº 1350;Taruma;Manaus;AM;69049-600
IRF Almerim;Centro Administrativo do Serviço Público Federal - Monte Dourado, Bloco C;Centro;Almerim;PA;68240-000
IRF ARATU-CANDEIAS;VIA MATOIN S/N - PORTO DE ARATU;BAHIA DE ARATU;CANDEIAS;BA;43800-000
IRF Bonfim;Av. São Sebastião, nº 84;Centro;Bonfim;RR;69380-000
IRF Brasileia;Avenida Prefeito Rolando Moreira, nº 99;Centro;Brasiléia;AC;69932-000
IRF Cabedelo;Rua Presidente João Pessoa, nº 65;Centro;Cabedelo;PB;58310-970
IRF Cáceres;Rua Padre Cassimiro, nº 850;Centro;Cáceres;MT;78200-000
IRF Capanema;Rua Padre Cirilo, nº 212;Centro;Capanema;PR;85760-000
IRF Cruzeiro do Sul;Avenida Joaquim Távora, nº 31;Centro;Cruzeiro do Sul;AC;69980-000
IRF Dionísio Cerqueira;Rua República Argentina, nº 140;Centro;Dionísio Cerqueira;SC;89950-000
IRF Guaíra;Rua Castro Alves, nº 359;Centro;Guaíra;PR;85980-000
IRF Ilhéus;Rua Visconde de Mauá, nº 524;Cidade Nova;Ilhéus;BA;45652-042
IRF Itacoatiara;Avenida Torquato Tapajós, nº 883;Centro;Itacoatiara;AM;69100-003
IRF Óbidos;Rua Siqueira Campos, nº 196;Comercial;Óbidos;PA;68250-000
IRF Oiapoque;Rua Joaquim Caetano da Silva, nº 950;Centro;Oiapoque;AP;68980-000
IRF Paracaíma;Av Panamericana, S/N;Centro;Pacaraima;RR;69301-061
IRF Petrolina;Avenida Dr. Fernando Goes, nº 165;Centro;Petrolina;PE;56304-020
IRF Placido de Castro;Avenida Epitácio Pessoa, nº 288;Centro;Plácido de Castro;AC;69928-000
IRF Porto Seguro;Avenida dos Navegantes, nº 107;Centro;Porto Seguro;BA;45810-000
IRF Santa Helena;Avenida Brasil, nº 1481;Centro;Santa Helena;PR;85892-000
IRF Santana;Avenida Santana, nº 304;Área Portuária;Santana;AP;68925-000
IRF Santo Antônio do Sudoeste;Rua Ramalho Piva, nº 78;;Sto Ant. do Sudoeste;PR;85710-000
IRF São Miguel do Oeste;Rua Padre Aurélio Canzi, nº 1881;Centro;São Miguel do Oeste;SC;89900-000
IRF São Sebastião;Av. Altino Arantes, nº 614;Centro;São Sebastião;SP;11600-000
IRF Tabatinga;Rua Duarte Coelho, nº 11;Portobras;Tabatinga;AM;69640-000
IRF Vilhena;Avenida Sabino Bezerra de Queiroz, nº 4837;Jardim Eldorado;Vilhena;RO;76980-000
